作家(handle)	作家名	欄	固有名詞(ja)	含まれる人名	種別	言語	現表記	人名部分	判定	判定の理由	社内の照合(本人ページのローマ字)	探索経路
oguiss-takanori	荻須 高徳	collection	稲沢市荻須記念美術館	荻須高徳	館・施設	fr	Musée mémorial Oguiss de la ville d'Inazawa	Oguiss	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Oguiss）	公式サイト（https://www.city.inazawa.aichi.jp/museum）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
oguiss-takanori	荻須 高徳	collection	稲沢市荻須記念美術館	荻須高徳	館・施設	es	Museo Conmemorativo Oguiss de la ciudad de Inazawa	Oguiss	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Oguiss）	公式サイト（https://www.city.inazawa.aichi.jp/museum）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
oguiss-takanori	荻須 高徳	collection	稲沢市荻須記念美術館	荻須高徳	館・施設	de	Städtisches Oguiss-Gedächtnis-Kunstmuseum Inazawa	Oguiss	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Oguiss）	公式サイト（https://www.city.inazawa.aichi.jp/museum）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kazuki-yasuo	香月 泰男	collection	香月泰男美術館	香月泰男	館・施設	en	Kazuki Yasuo Museum	Kazuki Yasuo	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Kazuki/Yasuo）	Wikidata P856→https://kazukiyasuo.com（＋言語切替リンク）を取得し全文検索→英名0件
kazuki-yasuo	香月 泰男	collection	香月泰男美術館	香月泰男	館・施設	ko	가즈키 야스오 미술관	가즈키 야스오 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://kazukiyasuo.com（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
kazuki-yasuo	香月 泰男	collection	香月泰男美術館	香月泰男	館・施設	fr	musée Kazuki Yasuo	Kazuki Yasuo	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kazuki/Yasuo）	公式サイト（https://kazukiyasuo.com）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kazuki-yasuo	香月 泰男	collection	香月泰男美術館	香月泰男	館・施設	es	Museo Kazuki Yasuo	Kazuki Yasuo	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kazuki/Yasuo）	公式サイト（https://kazukiyasuo.com）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kazuki-yasuo	香月 泰男	collection	香月泰男美術館	香月泰男	館・施設	de	Kunstmuseum Kazuki Yasuo	Kazuki Yasuo	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kazuki/Yasuo）	公式サイト（https://kazukiyasuo.com）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
miyamoto-saburo	宮本 三郎	collection	小松市立宮本三郎美術館	宮本三郎	館・施設	en	Komatsu City Miyamoto Saburō Museum of Art	Miyamoto Saburō	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Miyamoto/Saburō）	Wikidata P856→https://www.city.komatsu.lg.jp/kanko_bunka/4/1/index.html（＋言語切替リンク）を取得し全文検索→英名0件
miyamoto-saburo	宮本 三郎	collection	小松市立宮本三郎美術館	宮本三郎	館・施設	ko	고마쓰시립 미야모토 사부로 미술관	고마쓰시립 미야모토 사부로 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.city.komatsu.lg.jp/kanko_bunka/4/1/index.html（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
miyamoto-saburo	宮本 三郎	collection	小松市立宮本三郎美術館	宮本三郎	館・施設	fr	Musée d'art Miyamoto Saburō de la ville de Komatsu	Miyamoto Saburō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Miyamoto/Saburō）	公式サイト（https://www.city.komatsu.lg.jp/kanko_bunka/4/1/index.html）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
miyamoto-saburo	宮本 三郎	collection	小松市立宮本三郎美術館	宮本三郎	館・施設	es	Museo de Arte Miyamoto Saburō de la ciudad de Komatsu	Miyamoto Saburō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Miyamoto/Saburō）	公式サイト（https://www.city.komatsu.lg.jp/kanko_bunka/4/1/index.html）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
miyamoto-saburo	宮本 三郎	collection	小松市立宮本三郎美術館	宮本三郎	館・施設	de	Städtisches Kunstmuseum Miyamoto Saburō Komatsu	Miyamoto Saburō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Miyamoto/Saburō）	公式サイト（https://www.city.komatsu.lg.jp/kanko_bunka/4/1/index.html）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
miyamoto-saburo	宮本 三郎	masterworks[1]	ジャンヌ・ダルク	ジャンヌ・ダルク	作品名	romaji	Jannu Daruku	Jannu Daruku	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
miyamoto-saburo	宮本 三郎	masterworks[1]	ジャンヌ・ダルク	ジャンヌ・ダルク	作品名	en	Joan of Arc	Joan Arc	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
koyama-keizo	小山 敬三	collection	小山敬三美術館	小山敬三	館・施設	en	Koyama Keizō Museum of Art	Koyama Keizō	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Koyama/Keizō）	Wikidata P856→https://www.city.komoro.lg.jp/soshikikarasagasu/kyoikuiinkaijimukyoku/bunkazai_shogaigakushuka/4/2/2/（＋言語切替リンク）を取得し全文検索→英名0件
koyama-keizo	小山 敬三	collection	小山敬三美術館	小山敬三	館・施設	ko	고야마 게이조 미술관	고야마 게이조 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.city.komoro.lg.jp/soshikikarasagasu/kyoikuiinkaijimukyoku/bunkazai_shogaigakushuka/4/2/2/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
koyama-keizo	小山 敬三	collection	小山敬三美術館	小山敬三	館・施設	fr	Musée d'art Koyama Keizō	Koyama Keizō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Koyama/Keizō）	公式サイト（https://www.city.komoro.lg.jp/soshikikarasagasu/kyoikuiinkaijimukyoku/bunkazai_shogaigakushuka/4/2/2/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
koyama-keizo	小山 敬三	collection	小山敬三美術館	小山敬三	館・施設	es	Museo de Arte Koyama Keizō	Koyama Keizō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Koyama/Keizō）	公式サイト（https://www.city.komoro.lg.jp/soshikikarasagasu/kyoikuiinkaijimukyoku/bunkazai_shogaigakushuka/4/2/2/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
koyama-keizo	小山 敬三	collection	小山敬三美術館	小山敬三	館・施設	de	Kunstmuseum Koyama Keizō	Koyama Keizō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Koyama/Keizō）	公式サイト（https://www.city.komoro.lg.jp/soshikikarasagasu/kyoikuiinkaijimukyoku/bunkazai_shogaigakushuka/4/2/2/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kumagai-morikazu	熊谷 守一	collection	豊島区立熊谷守一美術館	熊谷守一	館・施設	ko	도시마구립 구마가이 모리카즈 미술관	도시마구립 구마가이 모리카즈 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://kumagai-morikazu.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
hayashi-shizue	林 倭衛	masterworks[1]	ニコライ堂	ニコライ（日本正教会大主教）	作品名	romaji	Nikorai-dō	Nikorai-dō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
hayashi-shizue	林 倭衛	masterworks[1]	ニコライ堂	ニコライ（日本正教会大主教）	作品名	en	Nikolai Cathedral	Nikolai Cathedral	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
hazama-inosuke	硲 伊之助	masterworks[0]	二人麗子	岸田麗子	作品名	romaji	Futari Reiko	Futari Reiko	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
hazama-inosuke	硲 伊之助	masterworks[0]	二人麗子	岸田麗子	作品名	en	Two Reiko	Two Reiko	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
yamaguchi-kaoru	山口 薫	masterworks[1]	花子誕生	花子（人名・当方未特定）	作品名	romaji	Hanako Tanjō	Hanako Tanjō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
yamaguchi-kaoru	山口 薫	masterworks[1]	花子誕生	花子（人名・当方未特定）	作品名	en	The Birth of Hanako	Birth Hanako	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
tanaka-yasushi	田中 保	masterworks[1]	ソリタ・ソラノの肖像	ソリタ・ソラノ	作品名	romaji	Sorita Sorano no Shōzō	Sorita Sorano no Shōzō	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
tanaka-yasushi	田中 保	masterworks[1]	ソリタ・ソラノの肖像	ソリタ・ソラノ	作品名	en	Portrait of Solita Solano	Portrait Solita Solano	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
hidai-tenrai	比田井 天来	collection	佐久市立天来記念館	比田井天来	館・施設	en	Saku Municipal Tenrai Memorial Museum	Tenrai	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Tenrai）	Wikidata P856→http://www.city.saku.nagano.jp/shisetsu/sakubun/tenraikinenkan/（＋言語切替リンク）を取得し全文検索→英名0件
hidai-tenrai	比田井 天来	collection	佐久市立天来記念館	比田井天来	館・施設	ko	사쿠 시립 덴라이 기념관	사쿠 시립 덴라이 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www.city.saku.nagano.jp/shisetsu/sakubun/tenraikinenkan/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
hidai-tenrai	比田井 天来	collection	佐久市立天来記念館	比田井天来	館・施設	fr	Musée commémoratif Tenrai de la ville de Saku	Tenrai	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tenrai）	公式サイト（http://www.city.saku.nagano.jp/shisetsu/sakubun/tenraikinenkan/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hidai-tenrai	比田井 天来	collection	佐久市立天来記念館	比田井天来	館・施設	es	Museo Conmemorativo Tenrai de la ciudad de Saku	Tenrai	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Tenrai）	公式サイト（http://www.city.saku.nagano.jp/shisetsu/sakubun/tenraikinenkan/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
hidai-tenrai	比田井 天来	collection	佐久市立天来記念館	比田井天来	館・施設	de	Städtisches Tenrai-Gedächtnismuseum Saku (佐久市立天来記念館; Saku Shiritsu Tenrai Kinenkan)	Tenrai Tenrai	C	★人名部分の綴りが当社の英語表記（Tenrai）と食い違う（Tenrai Tenrai）。相違の根拠は確認できない	本人ページのローマ字と一致（Tenrai/Tenrai）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
bundo-shunkai	豊道 春海	groups	瑞雲書道会	（会名の「瑞雲」＝人物号の可能性・未確認）	団体・流派	en	Zuiun Calligraphy Society	Zuiun Society	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
bundo-shunkai	豊道 春海	groups	瑞雲書道会	（会名の「瑞雲」＝人物号の可能性・未確認）	団体・流派	zh_cn	瑞云书道会	瑞云书道会	C	★日本語の人名漢字が字面として残っていない（瑞云书道会）。字体変換で説明できるか、別の語に置き換わっているか、1件ずつ読む必要がある	★日本語の人名漢字が1字も残っていない（簡体・繁体変換で別字になっている可能性）	公式サイト未特定。日本語の人名漢字との字体対応のみ機械照合
bundo-shunkai	豊道 春海	groups	瑞雲書道会	（会名の「瑞雲」＝人物号の可能性・未確認）	団体・流派	zh_tw	瑞雲書道會	瑞雲書道會	C	★日本語の人名漢字が字面として残っていない（瑞雲書道會）。字体変換で説明できるか、別の語に置き換わっているか、1件ずつ読む必要がある	★日本語の人名漢字が1字も残っていない（簡体・繁体変換で別字になっている可能性）	公式サイト未特定。日本語の人名漢字との字体対応のみ機械照合
bundo-shunkai	豊道 春海	groups	瑞雲書道会	（会名の「瑞雲」＝人物号の可能性・未確認）	団体・流派	ko	즈이운 서도회	즈이운 서도회	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
bundo-shunkai	豊道 春海	groups	瑞雲書道会	（会名の「瑞雲」＝人物号の可能性・未確認）	団体・流派	fr	Société de calligraphie Zuiun	Société Zuiun	C	★人名部分の綴りが当社の英語表記（Zuiun Society）と食い違う（Société Zuiun）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
bundo-shunkai	豊道 春海	groups	瑞雲書道会	（会名の「瑞雲」＝人物号の可能性・未確認）	団体・流派	es	Sociedad de Caligrafía Zuiun	Sociedad Zuiun	C	★人名部分の綴りが当社の英語表記（Zuiun Society）と食い違う（Sociedad Zuiun）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
bundo-shunkai	豊道 春海	groups	瑞雲書道会	（会名の「瑞雲」＝人物号の可能性・未確認）	団体・流派	de	Zuiun-Kalligrafie-Gesellschaft (瑞雲書道会)	Zuiun Kalligrafie Gesellschaft	C	★人名部分の綴りが当社の英語表記（Zuiun Society）と食い違う（Zuiun Kalligrafie Gesellschaft）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
aizu-yaichi	会津 八一	collection	新潟市會津八一記念館	會津八一	館・施設	ko	니가타시 아이즈 야이치 기념관	니가타시 아이즈 야이치 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://aizuyaichi.or.jp（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
aizu-yaichi	会津 八一	collection	新潟市會津八一記念館	會津八一	館・施設	de	Aizu-Yaichi-Gedächtnismuseum der Stadt Niigata (新潟市會津八一記念館)	Aizu Yaichi der	C	★人名部分の綴りが当社の英語表記（Aizu Yaichi）と食い違う（Aizu Yaichi der）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
kawamura-kizan	川村 驥山	collection	平田寺川村驥山記念室	川村驥山	館・施設	en	Kawamura Kizan Memorial Room, Heidenji	Kawamura Kizan	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Kawamura/Kizan）	Wikidataに該当項目／公式サイトURLの登録なし
kawamura-kizan	川村 驥山	collection	平田寺川村驥山記念室	川村驥山	館・施設	ko	헤이덴지 가와무라 기잔 기념실	헤이덴지 가와무라 기잔 기념실	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
kawamura-kizan	川村 驥山	collection	平田寺川村驥山記念室	川村驥山	館・施設	fr	Salle commémorative Kawamura Kizan, Heidenji	Kawamura Kizan	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kawamura/Kizan）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kawamura-kizan	川村 驥山	collection	平田寺川村驥山記念室	川村驥山	館・施設	es	Sala Conmemorativa Kawamura Kizan, Heidenji	Kawamura Kizan	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kawamura/Kizan）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kawamura-kizan	川村 驥山	collection	平田寺川村驥山記念室	川村驥山	館・施設	de	Kawamura-Kizan-Gedächtnisraum, Heidenji (平田寺川村驥山記念室)	Kawamura Kizan	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kawamura/Kizan）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
murakami-santo	村上 三島	collection	上浦歴史民俗資料館(村上三島記念館)	村上三島	館・施設	en	Kamiura Museum of History and Folklore (Murakami Santō Memorial Museum)	Murakami Santō	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	本人ページのローマ字と一致（Murakami/Santō）	Wikidata P856→https://www.city.imabari.ehime.jp/museum/santou/（＋言語切替リンク）を取得し全文検索→英名0件
murakami-santo	村上 三島	collection	上浦歴史民俗資料館(村上三島記念館)	村上三島	館・施設	ko	가미우라 역사민속자료관(무라카미 산토 기념관)	가미우라 역사민속자료관 무라카미 산토 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→https://www.city.imabari.ehime.jp/museum/santou/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
murakami-santo	村上 三島	collection	上浦歴史民俗資料館(村上三島記念館)	村上三島	館・施設	fr	Musée d'histoire et de folklore de Kamiura (Musée commémoratif Murakami Santō)	Murakami Santō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Murakami/Santō）	公式サイト（https://www.city.imabari.ehime.jp/museum/santou/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
murakami-santo	村上 三島	collection	上浦歴史民俗資料館(村上三島記念館)	村上三島	館・施設	es	Museo de Historia y Folclore de Kamiura (Museo Conmemorativo Murakami Santō)	Murakami Santō	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Murakami/Santō）	公式サイト（https://www.city.imabari.ehime.jp/museum/santou/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
murakami-santo	村上 三島	collection	上浦歴史民俗資料館(村上三島記念館)	村上三島	館・施設	de	Historisch-volkskundliches Museum Kamiura (Murakami-Santo-Gedächtnismuseum) (上浦歴史民俗資料館・村上三島記念館)	Murakami Santo	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Murakami/Santo）	公式サイト（https://www.city.imabari.ehime.jp/museum/santou/）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kumagai-tsuneko	熊谷 恒子	collection	熊谷恒子記念館	熊谷恒子	館・施設	en	Kumagai Tsuneko Memorial Museum	Kumagai Tsuneko	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Kumagai/Tsuneko）	Wikidataに該当項目／公式サイトURLの登録なし
kumagai-tsuneko	熊谷 恒子	collection	熊谷恒子記念館	熊谷恒子	館・施設	ko	구마가이 쓰네코 기념관	구마가이 쓰네코 기념관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	公式サイト未特定
kumagai-tsuneko	熊谷 恒子	collection	熊谷恒子記念館	熊谷恒子	館・施設	fr	Musée commémoratif Kumagai Tsuneko	Kumagai Tsuneko	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kumagai/Tsuneko）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kumagai-tsuneko	熊谷 恒子	collection	熊谷恒子記念館	熊谷恒子	館・施設	es	Museo Conmemorativo Kumagai Tsuneko	Kumagai Tsuneko	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kumagai/Tsuneko）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kumagai-tsuneko	熊谷 恒子	collection	熊谷恒子記念館	熊谷恒子	館・施設	de	Kumagai-Tsuneko-Gedächtnismuseum (熊谷恒子記念館)	Kumagai Tsuneko	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	本人ページのローマ字と一致（Kumagai/Tsuneko）	公式サイトに当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
kitaoji-rosanjin	北大路 魯山人	collection	足立美術館	足立全康	館・施設	en	Adachi Museum of Art	Adachi	C	公式サイトを取得したが、英語の館名の記載を見つけられなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidata P856→http://www.adachi-museum.or.jp/ja/index.html（＋言語切替リンク）を取得し全文検索→英名0件
kitaoji-rosanjin	北大路 魯山人	collection	足立美術館	足立全康	館・施設	ko	아다치 미술관	아다치 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://www.adachi-museum.or.jp/ja/index.html（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
kitaoji-rosanjin	北大路 魯山人	collection	足立美術館	足立全康	館・施設	fr	musée d'art Adachi	d'art Adachi	C	★人名部分の綴りが当社の英語表記（Adachi）と食い違う（d'art Adachi）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
kitaoji-rosanjin	北大路 魯山人	collection	足立美術館	足立全康	館・施設	es	Museo de Arte Adachi	Arte Adachi	C	★人名部分の綴りが当社の英語表記（Adachi）と食い違う（Arte Adachi）。相違の根拠は確認できない	当該人物は掲載作家ではない（社内の照合先なし）	同一固有名詞の8言語を並べて比較。公式サイトに当該言語のページは検出できず
kitaoji-rosanjin	北大路 魯山人	collection	足立美術館	足立全康	館・施設	de	Adachi-Kunstmuseum	Adachi	C	当該言語の公式表記も英語の公式表記も確認できていない。人名部分は当社の英語表記と同一	当該人物は掲載作家ではない（社内の照合先なし）	公式サイト（http://www.adachi-museum.or.jp/ja/index.html）に当該言語のページを検出できず（機械判定）。英語表記との一致で代替判定
sakaki-bakuzan	榊 莫山	masterworks[2]	莫山作品	榊莫山	作品名	romaji	Bakuzan sakuhin	Bakuzan sakuhin	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
sakaki-bakuzan	榊 莫山	masterworks[2]	莫山作品	榊莫山	作品名	en	Bakuzan works	Bakuzan	C	本便では公式サイトを特定できなかった	本人ページのローマ字と一致（Bakuzan）	Wikidataに該当項目／公式サイトURLの登録なし
takamura-koun	高村 光雲	masterworks[1]	西郷隆盛像(原型)	西郷隆盛	作品名	romaji	Saigō Takamori-zō (genkei)	Saigō Takamori-zō (genkei)	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
takamura-koun	高村 光雲	masterworks[1]	西郷隆盛像(原型)	西郷隆盛	作品名	en	Statue of Saigō Takamori (model)	Statue Saigō Takamori model	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
takamura-koun	高村 光雲	masterworks[2]	楠木正成像(原型)	楠木正成	作品名	romaji	Kusunoki Masashige-zō (genkei)	Kusunoki Masashige-zō (genkei)	C	作品題名のローマ字表記の根拠（所蔵館・展覧会図録の欧文併記等）は本便では確認していない	題名のローマ字（ヘボン式・T17裁定の対象）。外部の公式表記との照合は本便では未実施	本便では未探索（前便T17のローマ字裁定＝ヘボン式の対象範囲）
takamura-koun	高村 光雲	masterworks[2]	楠木正成像(原型)	楠木正成	作品名	en	Statue of Kusunoki Masashige (model)	Statue Kusunoki Masashige model	C	本便では公式サイトを特定できなかった	当該人物は掲載作家ではない（社内の照合先なし）	Wikidataに該当項目／公式サイトURLの登録なし
ogiwara-morie	荻原 守衛	collection	碌山美術館	荻原碌山	館・施設	ko	로쿠잔 미술관	로쿠잔 미술관	C	★館の公式サイトに韓国語ページを検出できず、ハングル表記の根拠が確認できない（日本語の読みからの音写と推測されるが未確認）	本人ページにハングル表記の欄が無いため社内照合先なし	Wikidata P856→http://rokuzan.jp/（＋言語切替リンク）を取得し、韓国語ページの有無とハングル表記を全文検索
