作家,列,台帳A(Vault)の値,台帳B(デスク)の値,由来の判定
"山崎覚太郎","名前(ローマ字)","Yamazaki Kakutarō","Yamazaki Kakutaro","第39便A案266名：一覧の from/to と完全一致"
"飯塚小玕斎","名前(ローマ字)","Iizuka Shōkansai","Iizuka Shokansai","第39便A案266名：一覧の from/to と完全一致"
"大野昭和斎","名前(ローマ字)","Ōno Shōwasai","Ono Showasai","第39便A案266名：一覧の from/to と完全一致"
"大隅俊平","名前(ローマ字)","Ōsumi Toshihira","Osumi Toshihira","第39便A案266名：一覧の from/to と完全一致"
"横山松三郎","名前(ローマ字)","Yokoyama Matsusaburō","Yokoyama Matsusaburo","第39便A案266名：一覧の from/to と完全一致"
"福原路草","名前(ローマ字)","Fukuhara Rosō","Fukuhara Roso","第39便A案266名：一覧の from/to と完全一致"
"石津良介","名前(ローマ字)","Ishizu Ryōsuke","Ishizu Ryosuke","第39便A案266名：一覧の from/to と完全一致"
"影山光洋","名前(ローマ字)","Kageyama Kōyō","Kageyama Koyo","第39便A案266名：一覧の from/to と完全一致"
"清水武甲","名前(ローマ字)","Shimizu Bukō","Shimizu Buko","第39便A案266名：一覧の from/to と完全一致"
"大束元","名前(ローマ字)","Ōtsuka Gen","Otsuka Gen","第39便A案266名：一覧の from/to と完全一致"
"福島菊次郎","名前(ローマ字)","Fukushima Kikujirō","Fukushima Kikujiro","第39便A案266名：一覧の from/to と完全一致"
"師岡宏次","名前(ローマ字)","Morooka Kōji","Morooka Koji","第39便A案266名：一覧の from/to と完全一致"
"北代省三","名前(ローマ字)","Kitadai Shōzō","Kitadai Shozo","第39便A案266名：一覧の from/to と完全一致"
"駒井哲郎","名前(ローマ字)","Komai Tetsurō","Komai Tetsuro","第39便A案266名：一覧の from/to と完全一致"
"岡本信治郎","名前(ローマ字)","Okamoto Shinjirō","Okamoto Shinjiro","第39便A案266名：一覧の from/to と完全一致"
"利根山光人","名前(ローマ字)","Toneyama Kōjin","Toneyama Kojin","第39便A案266名：一覧の from/to と完全一致"
"斎藤真一","名前(ローマ字)","Saitō Shin'ichi","Saito Shinichi","復帰便5名：一覧の from/to と完全一致"
"田中信太郎","名前(ローマ字)","Tanaka Shintarō","Tanaka Shintaro","第39便A案266名：一覧の from/to と完全一致"
"井田照一","名前(ローマ字)","Ida Shōichi","Ida Shoichi","第39便A案266名：一覧の from/to と完全一致"
"西川春洞","名前(ローマ字)","Nishikawa Shundō","Nishikawa Shundo","第39便A案266名：一覧の from/to と完全一致"
"武田霞洞","名前(ローマ字)","Takeda Kadō","Takeda Kado","第39便A案266名：一覧の from/to と完全一致"
"渡辺沙鴎","名前(ローマ字)","Watanabe Saō","Watanabe Sao","第39便A案266名：一覧の from/to と完全一致"
"松井如流","名前(ローマ字)","Matsui Joryū","Matsui Joryu","第39便A案266名：一覧の from/to と完全一致"
"大澤竹胎","名前(ローマ字)","Ōsawa Chikutai","Osawa Chikutai","第39便A案266名：一覧の from/to と完全一致"
"中村素堂","名前(ローマ字)","Nakamura Sodō","Nakamura Sodo","第39便A案266名：一覧の from/to と完全一致"
"深山龍洞","名前(ローマ字)","Miyama Ryūdō","Miyama Ryudo","第39便A案266名：一覧の from/to と完全一致"
"比田井小琴","名前(ローマ字)","Hidai Shōkin","Hidai Shokin","第39便A案266名：一覧の from/to と完全一致"
"森田子龍","名前(ローマ字)","Morita Shiryū","Morita Shiryu","第39便A案266名：一覧の from/to と完全一致"
"篠田桃紅","名前(ローマ字)","Shinoda Tōkō","Shinoda Toko","第39便A案266名：一覧の from/to と完全一致"
"江口草玄","名前(ローマ字)","Eguchi Sōgen","Eguchi Sogen","第39便A案266名：一覧の from/to と完全一致"
"内藤ルネ","名前(ローマ字)","Naitō Rune","Naito Rune","第39便A案266名：一覧の from/to と完全一致"
"橋口五葉","名前(ローマ字)","Hashiguchi Goyō","Hashiguchi Goyo","第39便A案266名：一覧の from/to と完全一致"
"佐野繁次郎","名前(ローマ字)","Sano Shigejirō","Sano Shigejiro","第39便A案266名：一覧の from/to と完全一致"
"大智浩","名前(ローマ字)","Ōchi Hiroshi","Ochi Hiroshi","第39便A案266名：一覧の from/to と完全一致"
"伊東茂平","名前(ローマ字)","Itō Mohei","Ito Mohei","第39便A案266名：一覧の from/to と完全一致"
"小池岩太郎","名前(ローマ字)","Koike Iwatarō","Koike Iwataro","第39便A案266名：一覧の from/to と完全一致"
"伊東忠太","名前(ローマ字)","Itō Chūta","Ito Chuta","第39便A案266名：一覧の from/to と完全一致"
"片山東熊","名前(ローマ字)","Katayama Tōkuma","Katayama Tokuma","第39便A案266名：一覧の from/to と完全一致"
"丹下健三","名前(ローマ字)","Tange Kenzō","Tange Kenzo","第39便A案266名：一覧の from/to と完全一致"
"村野藤吾","名前(ローマ字)","Murano Tōgo","Murano Togo","第39便A案266名：一覧の from/to と完全一致"
"谷口吉郎","名前(ローマ字)","Taniguchi Yoshirō","Taniguchi Yoshiro","第39便A案266名：一覧の from/to と完全一致"
"荻須高徳","name_kana","おぎす たかのり","おぐいす たかのり","★A案変換に由来しない＝寄せていない"
"丹下健三","収蔵先・記念館","重要文化財指定建物3件（広島平和記念資料館本館・香川県庁舎東館・国立代々木競技場）。","文化庁国立近現代建築資料館","★A案変換に由来しない＝寄せていない"
"丹下健三","備考","［2026-08-07 公開文面から外した調査記録（作業メモ型の語の是正・司令塔決定）］【収蔵先・記念館】重要文化財指定建物3件（広島平和記念資料館本館・香川県庁舎東館・国立代々木競技場）。専用の記念館・アーカイブは未確認。 【所属団体】設","［2026-08-07 公開文面から外した調査記録（作業メモ型の語の是正・司令塔決定）］【収蔵先・記念館】重要文化財指定建物3件（広島平和記念資料館本館・香川県庁舎東館・国立代々木競技場）。専用の記念館・アーカイブは未確認。 【所属団体】設","★A案変換に由来しない＝寄せていない"
"槇文彦","収蔵先・記念館","槇文彦アーカイブ（慶應義塾大学湘南藤沢キャンパス）に資料が所蔵されている。","慶應義塾大学湘南藤沢キャンパス（槇文彦アーカイブ）","★A案変換に由来しない＝寄せていない"
"槇文彦","備考","［2026-08-07 公開文面から外した調査記録（作業メモ型の語の是正・司令塔決定）］【収蔵先・記念館】文化財指定は今回確認できず。槇文彦アーカイブ（慶應義塾大学湘南藤沢キャンパス）に資料が所蔵されている。","［2026-08-07 公開文面から外した調査記録（作業メモ型の語の是正・司令塔決定）］【収蔵先・記念館】文化財指定は今回確認できず。槇文彦アーカイブ（慶應義塾大学湘南藤沢キャンパス）に資料が所蔵されている。 / 【2026-08-09 リ","★A案変換に由来しない＝寄せていない"
"村野藤吾","収蔵先・記念館","重要文化財指定建物3件（指定年は代表作欄のとおり）。","京都工芸繊維大学美術工芸資料館","★A案変換に由来しない＝寄せていない"
"村野藤吾","備考","［2026-08-07 公開文面から外した調査記録（作業メモ型の語の是正・司令塔決定）］【収蔵先・記念館】重要文化財指定建物3件（指定年は代表作欄のとおり）。専用の記念館・アーカイブは未確認。 【所属団体】設計事務所：渡辺節建築事務所(19","［2026-08-07 公開文面から外した調査記録（作業メモ型の語の是正・司令塔決定）］【収蔵先・記念館】重要文化財指定建物3件（指定年は代表作欄のとおり）。専用の記念館・アーカイブは未確認。 【所属団体】設計事務所：渡辺節建築事務所(19","★A案変換に由来しない＝寄せていない"
"前川國男","収蔵先・記念館","国指定重要文化財1件（木村産業研究所）・国登録有形文化財1件（国際文化会館本館）・県指定重要文化財1件（神奈川県立図書館・音楽堂）。","文化庁国立近現代建築資料館","★A案変換に由来しない＝寄せていない"
"前川國男","備考","［2026-08-07 公開文面から外した調査記録（作業メモ型の語の是正・司令塔決定）］【収蔵先・記念館】国指定重要文化財1件（木村産業研究所）・国登録有形文化財1件（国際文化会館本館）・県指定重要文化財1件（神奈川県立図書館・音楽堂）。専","［2026-08-07 公開文面から外した調査記録（作業メモ型の語の是正・司令塔決定）］【収蔵先・記念館】国指定重要文化財1件（木村産業研究所）・国登録有形文化財1件（国際文化会館本館）・県指定重要文化財1件（神奈川県立図書館・音楽堂）。専","★A案変換に由来しない＝寄せていない"
